,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
0,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,25.08,KG,139.75,030751 - CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 4
1,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Nacional - 0,25.42,KG,149.07,493211 - CHAPEAM TAMPA TRASEIRA (4500) CBHM
2,120137,"BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300",Nacional - 0,9.13,KG,65.9,033785 - REFORÇO DOBRADO [GRADE LATERAL SUPERIOR - CBHL6000]
3,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Nacional - 0,0.93,KG,5.45,"031018 - COLUNA LATERAL ALT 45- ESTRUTURA GRADE TRASEIRA/LATERAL - S3,2/4,0MD"
4,120136,"BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",Nacional - 0,59.2,KG,341.28,030341 - PISO DIR PLATAF M17 (3500/5000/8000) CBHM
5,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.27,KG,1.55,425801 - GUIA DA PLATAFORMA CBHM
6,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.37,KG,2.12,468745 - REFORCO PONTA DE EIXO TANDEM FA6
7,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,6.71,KG,38.48,425187 - REFORÇO CENTRAL CBHM
8,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,2.27,KG,6.4,030318 - TRANSVERSINA DIANTEIRA M17 CHASSI CBHM/CBH
9,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,4.11,KG,11.59,"013213 - FECHAM LAT TAMPA TRAS 1,10m CBHM"
10,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,0.3,KG,1.73,468540 - FECHAM FRONTAL - ICAM (M98) F4/6
