,DEPOIS,status
0,030751,ok
1,493211,ok
2,033785,ok
3,031018,ok
4,030341,ok
5,030339A,erro
6,493107,ok
7,425953,ok
8,029664,ok
9,429764,ok
10,031237,ok
11,032317,ok
12,466578,ok
13,032547,ok
14,032548,ok
15,033210,ok
16,032831,ok
17,032851,ok
18,409959PL,erro
19,030993,ok
20,034004,ok
21,450870,ok
22,030348,ok
23,425801,ok
24,468745,ok
25,425187,ok
26,030318,ok
27,013213,ok
28,468540,ok
29,032849,ok
30,030381,ok
31,030334,ok
32,030317,ok
33,032402,ok
34,030368,ok
35,460230,ok
36,460679,ok
37,409686,ok
38,465422,ok
39,030591,ok
40,031206,ok
41,025484,ok
42,022263,ok
43,030375,ok
44,031045,ok
45,409741,ok
46,494653,ok
47,027552,ok
48,030308,ok
49,030106,ok
50,018338,ok
51,032553,ok
52,426301,ok
53,030366,ok
54,030373,ok
55,030336,ok
56,025742,ok
57,025243,ok
58,030384,ok
59,031514,ok
60,450868,ok
61,031556,ok
62,466050 PL,erro
63,032665,ok
64,460680,ok
65,030501,ok
66,409753,ok
67,025846,ok
68,453341,ok
69,032353,ok
70,032352A,erro
71,033889,ok
72,030645,ok
73,030376,ok
74,030316,ok
75,033929,ok
76,412661,ok
77,459690,ok
78,031224,ok
79,013225,ok
80,031223,ok
81,030553,ok
82,450832,ok
83,018181,ok
84,025563,ok
85,032806,ok
86,031060,ok
87,457656,ok
88,481713,ok
89,013201,ok
90,030339,ok
91,460394,ok
92,027757,ok
93,027666,ok
94,027756,ok
95,029669,ok
96,029988,ok
97,474046,ok
98,032218,ok
99,027487CH,erro
100,029066,ok
101,030280,ok
102,027032,ok
103,028074,ok
104,032221,ok
105,027477,ok
106,028073,ok
107,032859CH,erro
108,034204,ok
109,025740,ok
110,030589,ok
111,031226,ok
112,409820,ok
113,030425,ok
114,030509,ok
115,425965,ok
116,031508,ok
117,030544,ok
118,030574,ok
119,025455,ok
120,029964,ok
121,439990,ok
122,425187,ok
123,031509,ok
124,480230,ok
125,032440,ok
126,032439,ok
127,030451,ok
128,033120,ok
129,031204,ok
130,450790,ok
131,031017,ok
132,025845,ok
133,409959,ok
134,494495,ok
135,031248,ok
136,030500,ok
137,493107,ok
138,028757,ok
139,031229,ok
140,425760,ok
141,030598,ok
142,031484,ok
143,031736,ok
144,031740,ok
145,031239,ok
146,031225,ok
147,450856,ok
148,030721,ok
149,033920,ok
150,030424,ok
151,030387,ok
152,455337,ok
153,441480,ok
154,031485,ok
155,030386,ok
156,475944,ok
157,028743,ok
158,447043,ok
159,030727,ok
160,030444,ok
161,030537,ok
162,483023,ok
163,450819,ok
164,450820,ok
165,030540,ok
166,030508,ok
167,032855,ok
168,027603,ok
169,460709,ok
170,025614,ok
171,030494,ok
172,030506,ok
173,418894B,erro
174,446282,ok
175,446312,ok
176,030538,ok
177,030388,ok
178,410718,ok
179,464296,ok
180,030547,ok
181,032889,ok
182,032901,ok
183,456469,ok
184,481439,ok
185,025835,ok
186,029043,ok
187,485007,ok
188,459252,ok
189,029678,ok
190,029679,ok
191,025655,ok
192,027667,ok
193,032734,ok
194,029957,ok
195,029946,ok
196,028486,ok
197,027661,ok
198,027473,ok
199,031203,ok
200,027668,ok
201,032219,ok
202,032220,ok
203,029057,ok
204,027534,ok
205,490313,ok
206,025848,ok
207,466050,ok
208,030750,ok
209,033409,ok
210,440115,ok
211,032467,ok
212,025600,ok
213,480307,ok
214,031515,ok
215,494616,ok
216,028739,ok
217,032367,ok
218,033101,ok
219,444893,ok
220,025539,ok
221,032457,ok
222,426386,ok
223,032335,ok
224,032812,ok
225,431242,ok
226,025749,ok
227,476535,ok
228,439009,ok
229,478970,ok
230,032870,ok
231,031861,ok
232,491421,ok
233,431254,ok
234,463176,ok
235,028766,ok
236,417233,ok
237,031293,ok
238,433846,ok
239,031227,ok
240,030178,ok
241,033021,ok
242,415017PL,erro
243,033438,ok
244,033264,ok
245,032459,ok
246,032460,ok
247,032458,ok
248,028855,ok
249,417749,ok
250,426544,ok
251,031050,ok
252,030512,ok
253,025546,ok
254,459501,ok
255,439046,ok
256,026425,ok
257,033265,ok
258,027555,ok
259,027557,ok
260,030107,ok
261,034212,ok
262,475956,ok
263,475579,ok
264,446178,ok
265,418134,ok
266,030616,ok
267,023504,ok
268,494550,ok
269,013262,ok
270,032732,ok
271,409960,ok
272,030105,ok
273,023243,ok
274,026416,ok
275,480629,ok
276,029662,ok
277,029665,ok
278,029663,ok
279,459574,ok
280,472116,ok
281,031905,ok
282,033268,ok
283,033190,ok
284,029987,ok
285,027537,ok
286,032924,ok
287,032920,ok
288,030051,ok
289,453407,ok
290,033305,ok
291,032933,ok
292,033686,ok
293,033685,ok
294,034003,ok
295,033304,ok
296,033687,ok
297,033296,ok
298,026068,ok
299,031486,ok
300,031487,ok
301,412168,ok
302,032786,ok
303,032942,ok
304,012919,ok
305,033288,ok
306,032790,ok
307,033332,ok
308,033490,ok
309,033221,ok
310,032789,ok
311,032787,ok
312,033188,ok
313,033290,ok
314,022469,ok
315,030539,ok
316,030384A,ok
317,030544A,ok
318,034211,ok
319,033076,ok
320,032816,ok
321,033259,ok
322,493673,ok
323,032814,ok
324,032800,ok
325,032861,ok
326,030384B,ok
327,030544B,ok
328,031206A,ok
329,025401,ok
330,031238,ok
331,024004,ok
332,025602,ok
